pc4,gemeente,inwoners,dist_nearest_pon_km,score,policy_index,score_policy,S_dem
6291,Vaals,7900.0,13.170364101738516,1.8305084745762712,0.0,1.8305084745762712,1.8305084745762712
3253,Ouddorp,6295.0,14.61637559870337,1.7288135593220337,0.0,1.7288135593220337,1.7288135593220337
1771,Wieringerwerf,6120.0,12.571441471230113,1.6779661016949152,0.0,1.6779661016949152,1.6779661016949152
6301,Valkenburg,10530.0,9.870531207002575,1.6610169491525424,0.0,1.6610169491525424,1.6610169491525424
4561,Hulst,9930.0,10.33744595510585,1.6440677966101696,0.0,1.6440677966101696,1.6440677966101696
8131,Wijhe,8400.0,10.383978834551053,1.6271186440677967,0.0,1.6271186440677967,1.6271186440677967
1777,Hippolytushoef,5165.0,17.30589574032254,1.6271186440677967,0.0,1.6271186440677967,1.6271186440677967
7711,Nieuwleusen,9515.0,9.604658583647636,1.542372881355932,0.0,1.542372881355932,1.542372881355932
6039,Stramproy,5295.0,10.716632932750224,1.440677966101695,0.0,1.440677966101695,1.440677966101695
8316,Marknesse,3995.0,11.524809202784795,1.3898305084745763,0.0,1.3898305084745763,1.3898305084745763
4501,Oostburg,4645.0,10.607331296287136,1.3898305084745761,0.0,1.3898305084745761,1.3898305084745761
8801,Franeker,7000.0,9.235036191315626,1.3559322033898304,0.0,1.3559322033898304,1.3559322033898304
8391,Noordwolde,3625.0,12.166583475989603,1.3389830508474576,0.0,1.3389830508474576,1.3389830508474576
7963,Ruinen,3665.0,11.256392137361253,1.288135593220339,0.0,1.288135593220339,1.288135593220339
8711,Workum,4585.0,9.661137916930542,1.2372881355932204,0.0,1.2372881355932204,1.2372881355932204
3958,Amerongen,5500.0,9.176326509604364,1.2203389830508473,0.0,1.2203389830508473,1.2203389830508473
4564,Sint Jansteen,3190.0,12.136016073470824,1.2033898305084747,0.0,1.2033898305084747,1.2033898305084747
3241,Middelharnis,7725.0,8.354030840760613,1.2033898305084745,0.0,1.2033898305084745,1.2033898305084745
3774,Kootwijkerbroek,5840.0,8.766685565665872,1.1864406779661016,0.0,1.1864406779661016,1.1864406779661016
8141,Heino,7315.0,8.25599314730409,1.1355932203389831,0.0,1.1355932203389831,1.1355932203389831
8433,Haulerwijk,3195.0,10.737670440554627,1.11864406779661,0.0,1.11864406779661,1.11864406779661
3956,Leersum,7730.0,8.125418952985921,1.11864406779661,0.0,1.11864406779661,1.11864406779661
9161,Hollum,1305.0,18.397429502686126,1.1016949152542372,0.0,1.1016949152542372,1.1016949152542372
4551,Sas van Gent,3910.0,9.349009209996519,1.0677966101694916,0.0,1.0677966101694916,1.0677966101694916
9561,Ter Apel,10035.0,7.814746643330388,1.0677966101694916,0.0,1.0677966101694916,1.0677966101694916
1483,De Rijp,4395.0,8.780668360441137,1.0508474576271187,0.0,1.0508474576271187,1.0508474576271187
4651,Steenbergen,12705.0,7.65663861165899,1.0508474576271187,0.0,1.0508474576271187,1.0508474576271187
3411,Lopik,8210.0,7.854537949668575,1.033898305084746,0.0,1.033898305084746,1.033898305084746
9172,Ferwert,1805.0,11.37888432757369,1.0338983050847457,0.0,1.0338983050847457,1.0338983050847457
4413,Krabbendijke,4460.0,8.656757039278352,1.0338983050847457,0.0,1.0338983050847457,1.0338983050847457
4451,Heinkenszand,5555.0,8.284334521235538,1.0338983050847457,0.0,1.0338983050847457,1.0338983050847457
8881,West-Terschelling,2570.0,10.506128476742296,1.0,0.0,1.0,1.0
4311,Bruinisse,3790.0,8.974629735115853,1.0,0.0,1.0,1.0
8414,Nieuwehorne,1445.0,11.170177323962966,0.9830508474576272,0.0,0.9830508474576272,0.9830508474576272
7881,Emmer-Compascuum,7760.0,7.833978429999385,0.9830508474576272,0.0,0.9830508474576272,0.9830508474576272
4322,Scharendijke,1245.0,11.945998333013891,0.9661016949152542,0.0,0.9661016949152542,0.9661016949152542
1633,Avenhorn,3460.0,8.81553936213628,0.8983050847457628,0.0,0.8983050847457628,0.8983050847457628
9035,Dronryp,3295.0,8.875972433733226,0.8813559322033898,0.0,0.8813559322033898,0.8813559322033898
7351,Hoenderloo,1335.0,10.536236848686858,0.864406779661017,0.0,0.864406779661017,0.864406779661017
3284,Zuid-Beijerland,3635.0,8.572511162940932,0.8644067796610169,0.0,0.8644067796610169,0.8644067796610169
8381,Vledder,1990.0,9.7278474813484,0.847457627118644,0.0,0.847457627118644,0.847457627118644
8255,Swifterbant,6535.0,7.563634712908612,0.8135593220338984,0.0,0.8135593220338984,0.8135593220338984
7448,Haarle,2095.0,9.478569257917265,0.8135593220338982,0.0,0.8135593220338982,0.8135593220338982
9291,Kollum,5800.0,7.7977644700726865,0.7966101694915254,0.0,0.7966101694915254,0.7966101694915254
7707,Balkbrug,4000.0,8.06731878951796,0.7627118644067796,0.0,0.7627118644067796,0.7627118644067796
8521,Sint Nicolaasga,3340.0,8.324817828053245,0.7457627118644068,0.0,0.7457627118644068,0.7457627118644068
6013,Hunsel,965.0,9.84752092634201,0.728813559322034,0.0,0.728813559322034,0.728813559322034
6325,Berg en Terblijt,4335.0,8.019301591998206,0.7288135593220338,0.0,0.7288135593220338,0.7288135593220338
6269,Margraten,3960.0,7.98017428511241,0.6610169491525424,0.0,0.6610169491525424,0.6610169491525424
1759,Callantsoog,2400.0,8.541012754697407,0.6610169491525424,0.0,0.6610169491525424,0.6610169491525424
7783,Gramsbergen,3265.0,8.11061378909297,0.6101694915254237,0.0,0.6101694915254237,0.6101694915254237
8411,Jubbega,3260.0,8.10264619524827,0.576271186440678,0.0,0.576271186440678,0.576271186440678
6333,Schimmert,3175.0,8.171793325105858,0.576271186440678,0.0,0.576271186440678,0.576271186440678
9423,Hoogersmilde,1400.0,8.42089680661643,0.5423728813559322,0.0,0.5423728813559322,0.5423728813559322
7738,Witharen,650.0,8.213199803268752,0.3220338983050848,0.0,0.3220338983050848,0.3220338983050848
9991,Middelstum,2185.0,7.526746349615442,0.2542372881355932,0.0,0.2542372881355932,0.2542372881355932
8493,Terherne,755.0,8.034426021984945,0.23728813559322035,0.0,0.23728813559322035,0.23728813559322035
9064,Aldtsjerk,670.0,8.035940161380532,0.23728813559322035,0.0,0.23728813559322035,0.23728813559322035
8851,Tzummarum,1365.0,7.657065902249482,0.2033898305084746,0.0,0.2033898305084746,0.2033898305084746
